week,date,time,timezone,away,home
1,9/8/16,8:30 PM,EDT,CAR,DEN
1,9/11/16,1:00 PM,EDT,BUF,BAL
1,9/11/16,1:00 PM,EDT,CHI,HOU
1,9/11/16,1:00 PM,EDT,CIN,NYJ
1,9/11/16,1:00 PM,EDT,CLE,PHI
1,9/11/16,1:00 PM,EDT,GB,JAX
1,9/11/16,1:00 PM,EDT,MIN,TEN
1,9/11/16,1:00 PM,EDT,OAK,NO
1,9/11/16,1:00 PM,EDT,SD,KC
1,9/11/16,1:00 PM,EDT,TB,ATL
1,9/11/16,4:05 PM,EDT,MIA,SEA
1,9/11/16,4:25 PM,EDT,DET,IND
1,9/11/16,4:25 PM,EDT,NYG,DAL
1,9/11/16,8:30 PM,EDT,NE,ARI
1,9/12/16,7:10 PM,EDT,PIT,WAS
1,9/12/16,10:20 PM,EDT,LA,SF
2,9/15/16,8:25 PM,EDT,NYJ,BUF
2,9/18/16,1:00 PM,EDT,BAL,CLE
2,9/18/16,1:00 PM,EDT,CIN,PIT
2,9/18/16,1:00 PM,EDT,DAL,WAS
2,9/18/16,1:00 PM,EDT,KC,HOU
2,9/18/16,1:00 PM,EDT,MIA,NE
2,9/18/16,1:00 PM,EDT,NO,NYG
2,9/18/16,1:00 PM,EDT,SF,CAR
2,9/18/16,1:00 PM,EDT,TEN,DET
2,9/18/16,4:05 PM,EDT,SEA,LA
2,9/18/16,4:05 PM,EDT,TB,ARI
2,9/18/16,4:25 PM,EDT,ATL,OAK
2,9/18/16,4:25 PM,EDT,IND,DEN
2,9/18/16,4:25 PM,EDT,JAX,SD
2,9/18/16,8:30 PM,EDT,GB,MIN
2,9/19/16,8:30 PM,EDT,PHI,CHI
3,9/22/16,8:25 PM,EDT,HOU,NE
3,9/25/16,1:00 PM,EDT,ARI,BUF
3,9/25/16,1:00 PM,EDT,BAL,JAX
3,9/25/16,1:00 PM,EDT,CLE,MIA
3,9/25/16,1:00 PM,EDT,DEN,CIN
3,9/25/16,1:00 PM,EDT,DET,GB
3,9/25/16,1:00 PM,EDT,MIN,CAR
3,9/25/16,1:00 PM,EDT,OAK,TEN
3,9/25/16,1:00 PM,EDT,WAS,NYG
3,9/25/16,4:05 PM,EDT,LA,TB
3,9/25/16,4:05 PM,EDT,SF,SEA
3,9/25/16,4:25 PM,EDT,NYJ,KC
3,9/25/16,4:25 PM,EDT,PIT,PHI
3,9/25/16,4:25 PM,EDT,SD,IND
3,9/25/16,8:30 PM,EDT,CHI,DAL
3,9/26/16,8:30 PM,EDT,ATL,NO
4,9/29/16,8:25 PM,EDT,MIA,CIN
4,10/2/16,9:30 AM,EDT,IND,JAX
4,10/2/16,1:00 PM,EDT,BUF,NE
4,10/2/16,1:00 PM,EDT,CAR,ATL
4,10/2/16,1:00 PM,EDT,CLE,WAS
4,10/2/16,1:00 PM,EDT,DET,CHI
4,10/2/16,1:00 PM,EDT,OAK,BAL
4,10/2/16,1:00 PM,EDT,SEA,NYJ
4,10/2/16,1:00 PM,EDT,TEN,HOU
4,10/2/16,4:05 PM,EDT,DEN,TB
4,10/2/16,4:25 PM,EDT,DAL,SF
4,10/2/16,4:25 PM,EDT,LA,ARI
4,10/2/16,4:25 PM,EDT,NO,SD
4,10/2/16,8:30 PM,EDT,KC,PIT
4,10/3/16,8:30 PM,EDT,NYG,MIN
5,10/6/16,8:25 PM,EDT,ARI,SF
5,10/9/16,1:00 PM,EDT,CHI,IND
5,10/9/16,1:00 PM,EDT,HOU,MIN
5,10/9/16,1:00 PM,EDT,NE,CLE
5,10/9/16,1:00 PM,EDT,NYJ,PIT
5,10/9/16,1:00 PM,EDT,PHI,DET
5,10/9/16,1:00 PM,EDT,TEN,MIA
5,10/9/16,1:00 PM,EDT,WAS,BAL
5,10/9/16,4:05 PM,EDT,ATL,DEN
5,10/9/16,4:25 PM,EDT,BUF,LA
5,10/9/16,4:25 PM,EDT,CIN,DAL
5,10/9/16,4:25 PM,EDT,SD,OAK
5,10/9/16,8:30 PM,EDT,NYG,GB
5,10/10/16,8:30 PM,EDT,TB,CAR
6,10/13/16,8:25 PM,EDT,DEN,SD
6,10/16/16,1:00 PM,EDT,BAL,NYG
6,10/16/16,1:00 PM,EDT,CAR,NO
6,10/16/16,1:00 PM,EDT,CIN,NE
6,10/16/16,1:00 PM,EDT,CLE,TEN
6,10/16/16,1:00 PM,EDT,JAX,CHI
6,10/16/16,1:00 PM,EDT,LA,DET
6,10/16/16,1:00 PM,EDT,PHI,WAS
6,10/16/16,1:00 PM,EDT,PIT,MIA
6,10/16/16,1:00 PM,EDT,SF,BUF
6,10/16/16,4:05 PM,EDT,KC,OAK
6,10/16/16,4:25 PM,EDT,ATL,SEA
6,10/16/16,4:25 PM,EDT,DAL,GB
6,10/16/16,8:30 PM,EDT,IND,HOU
6,10/17/16,8:30 PM,EDT,NYJ,ARI
7,10/20/16,8:25 PM,EDT,CHI,GB
7,10/23/16,9:30 AM,EDT,NYG,LA
7,10/23/16,1:00 PM,EDT,BAL,NYJ
7,10/23/16,1:00 PM,EDT,BUF,MIA
7,10/23/16,1:00 PM,EDT,CLE,CIN
7,10/23/16,1:00 PM,EDT,IND,TEN
7,10/23/16,1:00 PM,EDT,MIN,PHI
7,10/23/16,1:00 PM,EDT,NO,KC
7,10/23/16,1:00 PM,EDT,OAK,JAX
7,10/23/16,1:00 PM,EDT,WAS,DET
7,10/23/16,4:05 PM,EDT,SD,ATL
7,10/23/16,4:05 PM,EDT,TB,SF
7,10/23/16,4:25 PM,EDT,NE,PIT
7,10/23/16,8:30 PM,EDT,SEA,ARI
